h,r,t,weight,comment
C_SyntheticConcept_012878,leadsTo,C_SyntheticConcept_013026,1.0,
C_SyntheticConcept_016937,leadsTo,C_SyntheticConcept_017085,1.0,
C_SyntheticConcept_012277,leadsTo,C_SyntheticConcept_012388,1.0,
C_SyntheticConcept_004702,leadsTo,C_SyntheticConcept_004813,1.0,
C_SyntheticConcept_006122,leadsTo,C_SyntheticConcept_006233,1.0,
C_SyntheticConcept_003416,leadsTo,C_SyntheticConcept_003527,1.0,
C_SyntheticConcept_017567,leadsTo,C_SyntheticConcept_017568,1.0,
C_SyntheticConcept_001916,leadsTo,C_SyntheticConcept_002064,1.0,
C_SyntheticConcept_016370,leadsTo,C_SyntheticConcept_016371,1.0,
C_SyntheticConcept_015791,leadsTo,C_SyntheticConcept_015902,1.0,
C_SyntheticConcept_006760,leadsTo,C_SyntheticConcept_006908,1.0,
C_SyntheticConcept_007270,leadsTo,C_SyntheticConcept_007381,1.0,
C_SyntheticConcept_004393,leadsTo,C_SyntheticConcept_004578,1.0,
C_SyntheticConcept_015053,leadsTo,C_SyntheticConcept_015164,1.0,
C_SyntheticConcept_000519,leadsTo,C_SyntheticConcept_000630,1.0,
C_SyntheticConcept_008274,leadsTo,C_SyntheticConcept_008275,1.0,
C_SyntheticConcept_010599,leadsTo,C_SyntheticConcept_010784,1.0,
C_SyntheticConcept_010628,leadsTo,C_SyntheticConcept_010739,1.0,
C_SyntheticConcept_011076,leadsTo,C_SyntheticConcept_011077,1.0,
C_SyntheticConcept_015663,leadsTo,C_SyntheticConcept_015774,1.0,
C_SyntheticConcept_000563,leadsTo,C_SyntheticConcept_000748,1.0,
C_SyntheticConcept_017192,leadsTo,C_SyntheticConcept_017266,1.0,
C_SyntheticConcept_010617,leadsTo,C_SyntheticConcept_010691,1.0,
C_SyntheticConcept_000268,leadsTo,C_SyntheticConcept_000342,1.0,
C_SyntheticConcept_016364,leadsTo,C_SyntheticConcept_016365,1.0,
C_SyntheticConcept_017953,leadsTo,C_SyntheticConcept_017954,1.0,
C_SyntheticConcept_012455,leadsTo,C_SyntheticConcept_012603,1.0,
C_SyntheticConcept_000893,leadsTo,C_SyntheticConcept_001004,1.0,
C_SyntheticConcept_001428,leadsTo,C_SyntheticConcept_001539,1.0,
C_SyntheticConcept_010583,leadsTo,C_SyntheticConcept_010731,1.0,
C_SyntheticConcept_013162,leadsTo,C_SyntheticConcept_013347,1.0,
C_SyntheticConcept_012118,leadsTo,C_SyntheticConcept_012119,1.0,
